encoder,video,n_frames,frame_acc,drift_mean,drift_p95,pred_transitions_per_100,true_transitions_per_100,jitter_ratio,pred_segments,mean_run_len,stability,consistency,conditional_score
clip_vitb16,video66,1824,0.8053728070175439,0.036109574139118195,0.07668839395046234,21.119034558420186,0.32912781130005486,64.16666666666666,386,4.725388601036269,0.09771311283111572,0.9961622807017544,0.0973381173323121
clip_vitb16,video67,2353,0.6969825754356141,0.04236786440014839,0.11489993333816528,30.739795918367346,0.25510204081632654,120.49999999999999,724,3.25,0.2773468494415283,0.9970250743731407,0.27652176319159605
clip_vitb16,video68,1972,0.7677484787018256,0.0389566496014595,0.11069384217262268,28.310502283105023,0.30441400304414,93.00000000000001,559,3.5277280858676208,0.26522499322891235,0.9898580121703854,0.2625350845754751
clip_vitb16,video69,4575,0.7418579234972678,0.03107214905321598,0.06560580432415009,20.966331438565806,0.10931351114997814,191.79999999999998,960,4.765625,0.2576228976249695,0.9971584699453552,0.25689085441860343
clip_vitb16,video70,1194,0.6365159128978225,0.037723831832408905,0.09532873332500458,36.88181056160939,0.5029337803855826,73.33333333333334,441,2.707482993197279,0.2828977704048157,0.990787269681742,0.2802915095384396
clip_vitb16,video71,2515,0.6958250497017893,0.0453125536441803,0.10482636094093323,23.985680190930786,0.19888623707239458,120.6,604,4.163907284768212,0.19364959001541138,0.9968190854870775,0.19303360722410987
clip_vitb16,video72,3106,0.6390856406954282,0.04540961608290672,0.1059240847826004,31.36876006441224,0.1932367149758454,162.33333333333334,975,3.1856410256410257,0.2191481590270996,0.995492594977463,0.21816036951442114
clip_vitb16,video73,1356,0.7182890855457227,0.05174018442630768,0.130806103348732,27.74907749077491,0.44280442804428044,62.66666666666667,377,3.5968169761273208,0.18333476781845093,0.9970501474926253,0.1827939572939127
clip_vitb16,video74,1634,0.5128518971848225,0.03515935689210892,0.08084976673126221,34.109001837109616,0.3674219228413962,92.83333333333334,558,2.92831541218638,0.21534311771392822,0.9975520195838433,0.2148159619790104
clip_vitb16,video75,1923,0.6006240249609984,0.03971379995346069,0.10741131007671356,28.616024973985432,0.2601456815816857,110.00000000000001,551,3.490018148820327,0.2988274097442627,0.9942797711908476,0.2971180485860792
clip_vitb16,video76,2649,0.6961117402793507,0.04194211959838867,0.09405533969402313,27.56797583081571,0.22658610271903323,121.66666666666666,731,3.6238030095759233,0.13873589038848877,0.995847489618724,0.138159788163395
clip_vitb16,video77,2502,0.7777777777777778,0.043051578104496,0.11308765411376953,21.55137944822071,0.23990403838464613,89.83333333333333,540,4.633333333333334,0.22734659910202026,0.9952038369304557,0.22625620773942065
clip_vitb16,video78,739,0.625169147496617,0.049751777201890945,0.16094672679901123,31.30081300813008,0.8130081300813008,38.5,232,3.185344827586207,0.2503497004508972,0.9959404600811907,0.24933339584825487
clip_vitb16,video79,3414,0.6312243702401875,0.03705010935664177,0.07717370986938477,34.251391737474364,0.17579841781423966,194.83333333333334,1170,2.917948717948718,0.20732975006103516,0.9973637961335676,0.2067831865722978
clip_vitb16,video80,1724,0.6548723897911833,0.04515727609395981,0.09972231090068817,27.161926871735346,0.3482298316889147,78.0,469,3.6759061833688698,0.16802406311035156,0.994199535962877,0.1670494455749087
